# This is planckarc_pos1-comb1.txt the combined spectrum created by combine_mage_spectra.pro from planckarc_pos1.ls
# Total exptime should be        13500.000 s  (       3.7500000 hr)
# 4675.0 +/- 192.0 was the median spectral resolution and MAD, R===lambda / (FWHM)
# Created from:  Individual filenames, barycentric correction(km/s), exptime(s)
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-a-comb.txt       4.6300000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-b-comb.txt       4.6000000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-c-comb.txt       4.5800000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/planckarc-comb.txt       4.5500000       2700.0000
#           /Volumes/Apps_and_Docs/SCIENCE/Lensed-LBGs/Mage/Redux/Mage_May2017/1D/Final-Products/Fluxed/psz1550-7811_1e-comb.txt       4.5100000       2700.0000
#  Wavelengths have been converted to vacuum barycentric Angstroms
#  Flux density (fnu)   units are erg/s/cm^2/Hz.  Note:  it is fnu, NOT flambda
#
# MW reddening correction of E(B-V)=0.09427 , Rv=3.1, CCM has been applied
wave	fnu	noise	obswave	avgsky	fnuspec1	dfnuspec1	fnuspec2	dfnuspec2	fnuspec3	dfnuspec3	fnuspec4	dfnuspec4	fnuspec5	dfnuspec5	MWredcor
 3.20830880E+03	-6.06973483E-28	 1.66084127E-27	 3.20733250E+03	 5.83000000E-27	 6.17000000E-28	 2.75400000E-27	 1.16400000E-27	 2.80400000E-27	-3.68400000E-27	 2.64800000E-27	-1.02200000E-28	 1.41000000E-27	 7.76900000E-24	 1.64000000E-23	 1.58024859E+00
 3.20855090E+03	 2.69422930E-28	 1.64340086E-27	 3.20757450E+03	 4.88100000E-27	-7.45800000E-28	 2.63000000E-27	-5.17100000E-28	 2.72700000E-27	-1.10200000E-27	 2.77700000E-27	 9.27300000E-28	 1.39300000E-27	 1.43500000E-24	 1.50600000E-23	 1.58019314E+00
 3.20879280E+03	 2.58036496E-27	 1.64808368E-27	 3.20781640E+03	 3.74700000E-27	 1.80000000E-27	 2.67500000E-27	-6.37200000E-28	 2.72300000E-27	 1.65200000E-27	 2.74200000E-27	 2.17900000E-27	 1.39700000E-27	 1.09900000E-23	 1.51400000E-23	 1.58013776E+00
 3.20903490E+03	 4.90457567E-28	 1.69858855E-27	 3.20805840E+03	 7.27100000E-27	-3.94800000E-28	 2.76600000E-27	-1.37100000E-27	 2.85000000E-27	 4.79700000E-27	 2.97300000E-27	-1.08500000E-28	 1.41700000E-27	 1.59700000E-24	 1.33700000E-23	 1.58008237E+00
 3.20927680E+03	 3.93584740E-27	 1.66692854E-27	 3.20830030E+03	 4.04800000E-27	 5.49400000E-27	 2.81100000E-27	-5.00400000E-28	 2.72400000E-27	 3.01400000E-27	 2.86200000E-27	 2.41200000E-27	 1.39300000E-27	-1.35000000E-23	 1.22500000E-23	 1.58002706E+00
 3.20951890E+03	 4.42866075E-27	 1.65581037E-27	 3.20854230E+03	 3.57200000E-27	 4.99400000E-27	 2.71900000E-27	 7.13300000E-27	 2.86500000E-27	-7.75700000E-28	 2.76800000E-27	 2.11900000E-27	 1.38400000E-27	-4.08500000E-24	 1.31200000E-23	 1.57997173E+00
 3.20976090E+03	 2.42043201E-27	 1.67313153E-27	 3.20878420E+03	 5.75000000E-27	 1.72200000E-27	 2.68200000E-27	 1.04400000E-27	 2.80500000E-27	 2.70300000E-27	 2.93700000E-27	 1.33400000E-27	 1.40100000E-27	 5.17400000E-24	 1.32300000E-23	 1.57991645E+00
 3.21000290E+03	 1.33703654E-27	 1.70625011E-27	 3.20902620E+03	 7.90700000E-27	 2.98100000E-27	 2.75800000E-27	 3.30900000E-27	 2.87400000E-27	-6.22500000E-27	 2.85500000E-27	 1.44500000E-27	 1.44000000E-27	 1.04300000E-23	 1.25300000E-23	 1.57986121E+00
 3.21024490E+03	 4.14225134E-27	 1.74568563E-27	 3.20926810E+03	 7.94500000E-27	 1.47800000E-27	 2.88400000E-27	 3.50300000E-27	 2.90900000E-27	 5.14900000E-27	 2.88700000E-27	 2.03600000E-27	 1.47400000E-27	 8.16800000E-24	 1.23300000E-23	 1.57980600E+00
 3.21048700E+03	 3.93515924E-27	 1.68875361E-27	 3.20951010E+03	 6.06700000E-27	 1.12800000E-27	 2.73100000E-27	 3.15700000E-27	 2.79700000E-27	 2.03300000E-27	 2.89400000E-27	 2.80100000E-27	 1.42400000E-27	 1.44400000E-24	 1.18500000E-23	 1.57975080E+00
